_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,note,fonte_dato,3descrizione
,7,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,EN,18,84,51,202407,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,3,2023,22,AGENZIA DELLE ENTRATE,PV,3,0,1,202303,2025-06-18T16:15:20.148346,Impiegato,Fonte secondaria,,AGENZIA DELLE ENTRATE
,4,2023,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,RM,11,0,1,202310,2025-06-18T16:15:20.148346,Impiegato,,,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA
,9,2023,19,MINISTERO UNIVERSITA' E RICERCA,LE,15,1177,7,202309,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO UNIVERSITA' E RICERCA
,5,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,AQ,12,2,0,202305,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
,11,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,ND,10,123,27,202311,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,1,2024,19,MINISTERO UNIVERSITA' E RICERCA,Pr,7,7,2,202401,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO UNIVERSITA' E RICERCA
,12,2023,9,MINISTERO DELLA GIUSTIZIA,SU,19,,2,202312,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA GIUSTIZIA
,12,2023,9,MINISTERO DELLA GIUSTIZIA,CN,1,71,5,202312,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELLA GIUSTIZIA
,3,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,SO,3,,6,202303,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,9,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,BT,15,4788,45,202409,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,3,2024,25,ARCHIVI NOTARILI,PA,18,1,0,202403,2025-06-18T16:15:20.148346,Operatore,,,ARCHIVI NOTARILI
,12,2024,971,ARPAL PUGLIA,BA,15,5,1,202412,2025-06-18T16:15:20.148346,,,,ARPAL PUGLIA
,1,2022,9,MINISTERO DELLA GIUSTIZIA,BZ,20,1,1,202301,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELLA GIUSTIZIA
,9,2023,12,MINISTERO DELL'INTERNO,RA,7,1,1,202309,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO
,10,2023,9,MINISTERO DELLA GIUSTIZIA,CR,3,0,1,202410,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA GIUSTIZIA
,4,2024,9,MINISTERO DELLA GIUSTIZIA,RO,4,1,1,202404,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELLA GIUSTIZIA
,12,2024,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,//,14,0,2,202412,2025-06-18T16:15:20.148346,Operatore,,,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA
,1,2024,9,MINISTERO DELLA GIUSTIZIA,MC,10,0,1,202401,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLA GIUSTIZIA
,6,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CA,19,2,6,202306,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,1,2021,12,MINISTERO DELL'INTERNO,MI,3,1,6,202301,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'INTERNO
,5,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TN,20,0,3,202405,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TE,12,126,78,202412,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,6,2023,822,REGIONE LAZIO,VT,11,0,2,202306,2025-06-18T16:15:20.148346,Dirigente,,,REGIONE LAZIO
,7,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,ar,8,84,36,202407,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,2,2023,2,,RM,11,28,44,202302,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
,6,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PA,18,21,8832,202406,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,6,2023,19,MINISTERO UNIVERSITA' E RICERCA,RG,18,0,719,202306,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO UNIVERSITA' E RICERCA
,3,2023,14,MINISTERO DELLA CULTURA,BA,,4,8,202303,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA CULTURA
,10,2023,,MINISTERO DELLA GIUSTIZIA,CO,3,2,3,202310,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLA GIUSTIZIA
,3,2023,4,-,CE,14,15,39,202303,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,4,2023,19,MINISTERO UNIVERSITA' E RICERCA,PE,12,4,0,202304,2025-06-18T16:15:20.148346,,,,MINISTERO UNIVERSITA' E RICERCA
,4,2024,974,AGENZIA INDUSTRIE DIFESA AID,PR,7,0,1,202404,2025-06-18T16:15:20.148346,Dirigente,,,AGENZIA INDUSTRIE DIFESA AID
,12,2024,19,MINISTERO UNIVERSITA' E RICERCA,MN,3,111,197,202412,2025-06-18T16:15:20.148346,,,,MINISTERO UNIVERSITA' E RICERCA
,7,2021,9,MINISTERO DELLA GIUSTIZIA,FG,15,0,4,202307,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELLA GIUSTIZIA
,12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PR,7,16,2,202312,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,5,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,ND,3,2,2,202305,18.06.2025,Dirigente,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,12,2023,9,MINISTERO DELLA GIUSTIZIA,IS,13,3,4,202312,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLA GIUSTIZIA
,5,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,VV,,1,0,202305,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,6,2023,12,MINISTERO DELL'INTERNO,LU,8,3,3,202306,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'INTERNO
,10,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PD,4,0,6,202410,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,11,2024,19,MINISTERO UNIVERSITA' E RICERCA,MO,7,132,19,202411,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO UNIVERSITA' E RICERCA
,9,2023,954,,RO,4,1,1,202309,2025-06-18T16:15:20.148346,Operatore,,,ISPETTORATO NAZIONALE DEL LAVORO
,7,2022,19,MINISTERO UNIVERSITA' E RICERCA,CN,1,120,33,202407,2025-06-18T16:15:20.148346,,,,MINISTERO UNIVERSITA' E RICERCA
,10,2023,9,MINISTERO DELLA GIUSTIZIA,MI,3,28,18,202310,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELLA GIUSTIZIA
,8,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,unknown,18,24,2094,202308,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,4,2023,9,MINISTERO DELLA GIUSTIZIA,,14,7,104,202304,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA GIUSTIZIA
,12,2023,12,MINISTERO DELL'INTERNO,FM,10,1,2,202312,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO
,9,2023,2020,,SV,6,0,3,202309,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,11,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,FC,7,0,3,202411,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,7,2021,9,MINISTERO DELLA GIUSTIZIA,SR,18,1,6,202311,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA GIUSTIZIA
,9,2023,9,MINISTERO DELLA GIUSTIZIA,MB,3,0,1,202309,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA GIUSTIZIA
,7,2024,868,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,MI,3,1,0,202407,GIU 18 2025,Dirigente,,,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI
,10,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AL,1,402,21,202310,GIU 18 2025,,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,1,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,PU,,0,1,202301,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ECONOMIA E FINANZE
,6,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,NO,1,2,1,202306,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'ECONOMIA E FINANZE
,7,2023,21,AGENZIA DELLE DOGANE,AO,2,0,1,202307,2025-06-18T16:15:20.148346,Funzionario,,,AGENZIA DELLE DOGANE
,1,2024,22,AGENZIA DELLE ENTRATE,CO,3,0,2,202401,2025-06-18T16:15:20.148346,,,,AGENZIA DELLE ENTRATE
,4,2024,12,MINISTERO DELL'INTERNO,VA,3,0,2,202404,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO
,8,2024,22,AGENZIA DELLE ENTRATE,TV,4,0,2,202408,2025-06-18T16:15:20.148346,Funzionario,,,AGENZIA DELLE ENTRATE
,9,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,PN,5,1,0,202409,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ECONOMIA E FINANZE
,3,2023,9,MINISTERO DELLA GIUSTIZIA,ME,18,3,8,202303,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLA GIUSTIZIA
,11,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,PA,18,0,2,202411,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ECONOMIA E FINANZE
,6,2024,12,MINISTERO DELL'INTERNO,GE,,0,7,202406,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'INTERNO
,4,2024,18,CORTE DEI CONTI,,18,1,0,202404,2025-06-18T16:15:20.148346,,,,CORTE DEI CONTI
