mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
11,2023,19,MINISTERO UNIVERSITA' E RICERCA,TO,1,250,40,202311,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
7,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BT,15,0,2,202307,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
8,2021,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,4,202308,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,3,202304,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2023,22,AGENZIA DELLE ENTRATE,VR,4,0,1,202306,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SA,14,0,9,202311,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2024,12,MINISTERO DELL'INTERNO,TR,9,1,2,202402,2025-06-18,Funzionario,MINISTERO DELL'INTERNO
6,2023,22,AGENZIA DELLE ENTRATE,RG,18,6,2,202306,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
8,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,BG,10,0,1,202311,2025-06-18,Unknown,ISPETTORATO NAZIONALE DEL LAVORO
2,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PN,5,0,2,202402,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PT,8,12,9,202304,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,FE,7,15,8,202301,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,SI,8,9,6,202401,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
2,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TP,18,6,3,202402,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2023,12,Unknown,Unknown,18,3,3,202312,2025-06-18,Unknown,MINISTERO DELL'INTERNO
6,2024,14,MINISTERO DELLA CULTURA,GO,5,6,0,202406,2025-06-18,Unknown,MINISTERO DELLA CULTURA
7,2024,22,AGENZIA DELLE ENTRATE,LE,15,0,1,202407,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,CL,18,38,4,202301,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
12,2024,9,MINISTERO DELLA GIUSTIZIA,VR,4,8,8,202412,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
7,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,8,0,1,202309,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2024,14,MINISTERO DELLA CULTURA,RE,7,4,0,202404,2025-06-18,Funzionario,MINISTERO DELLA CULTURA
5,2023,9,MINISTERO DELLA GIUSTIZIA,SS,19,16,5,202305,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2024,954,Unknown,SA,14,3,0,202407,2025-06-18,Unknown,ISPETTORATO NAZIONALE DEL LAVORO
5,2023,9,MINISTERO DELLA GIUSTIZIA,VR,4,0,2,202305,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
12,2024,16,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO,RM,10,2,0,202412,2025-06-18,Funzionario,C.N.E.L.- CONSIGLIO NAZIONALE DELL'ECONOMIA E DEL LAVORO
4,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PU,10,0,2,202404,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,LO,3,1,0,202304,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
8,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BO,7,2,2,202408,2025-06-18,Dirigente,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
12,2023,12,MINISTERO DELL'INTERNO,RA,7,0,2,202312,2025-06-18,Operatore,MINISTERO DELL'INTERNO
4,2023,12,MINISTERO DELL'INTERNO,VR,4,5,1,202304,2025-06-18,Impiegato,MINISTERO DELL'INTERNO
10,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,AN,10,1,0,202310,2025-06-18,Funzionario,MINISTERO DELL'ECONOMIA E FINANZE
7,2023,19,MINISTERO UNIVERSITA' E RICERCA,MS,8,10,6,202307,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
8,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,PE,12,2,1,202409,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
9,2024,12,MINISTERO DELL'INTERNO,MC,10,1,2,202409,2025-06-18,Unknown,MINISTERO DELL'INTERNO
7,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,MT,16,1,0,202312,2025-06-18,Impiegato,MINISTERO DELL'ECONOMIA E FINANZE
1,2024,9,MINISTERO DELLA GIUSTIZIA,SA,14,12,7,202401,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
5,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AL,1,822,6,202405,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,Unknown,18,0,1,202312,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,RO,4,0,4,202302,2025-06-18,Dirigente,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
12,2023,14,MINISTERO DELLA CULTURA,TP,18,2,0,202312,2025-06-18,Operatore,MINISTERO DELLA CULTURA
1,2024,22,AGENZIA DELLE ENTRATE,RG,18,0,3,202312,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
12,2022,954,ISPETTORATO NAZIONALE DEL LAVORO,RO,4,0,1,202412,2025-06-18,Dirigente,ISPETTORATO NAZIONALE DEL LAVORO
5,2023,21,Unknown,CL,18,1,0,202312,2025-06-18,Dirigente,AGENZIA DELLE DOGANE
4,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,SI,8,0,1,202304,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AN,10,0,6,202311,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
7,2024,21,AGENZIA DELLE DOGANE,TS,5,0,1,202402,2025-06-18,Unknown,AGENZIA DELLE DOGANE
9,2023,19,MINISTERO UNIVERSITA' E RICERCA,VB,1,658,4,202309,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
12,2024,12,MINISTERO DELL'INTERNO,VT,11,0,1,202412,2025-06-18,Unknown,MINISTERO DELL'INTERNO
12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RA,7,7,1,202312,2025-06-18,Funzionario,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
8,2024,19,Unknown,VR,4,6,1037,202408,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
3,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,FR,11,9,12,202303,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2023,15,AVVOCATURA GENERALE DELLO STATO,FI,8,0,1,202312,2025-06-18,Operatore,AVVOCATURA GENERALE DELLO STATO
6,2023,802,ARAN,RM,11,0,1,202410,2025-06-18,Dirigente,ARAN
1,2023,21,AGENZIA DELLE DOGANE,NO,10,1,2,202301,2025-06-18,Impiegato,AGENZIA DELLE DOGANE
11,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,CE,14,0,1,202411,2025-06-18,Funzionario,ISPETTORATO NAZIONALE DEL LAVORO
8,2024,12,Unknown,IS,13,0,1,202408,2025-06-18,Unknown,MINISTERO DELL'INTERNO
3,2023,14,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,RM,11,12,9,202303,2025-06-18,Dirigente,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI
6,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AT,1,1,0,202306,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2024,15,AVVOCATURA GENERALE DELLO STATO,TS,5,3,0,202410,2025-06-18,Impiegato,AVVOCATURA GENERALE DELLO STATO
6,2024,12,MINISTERO DELL'INTERNO,VI,4,0,3,202406,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
2,2023,22,AGENZIA DELLE ENTRATE,RN,7,0,1,202302,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
4,2024,4,Unknown,AT,1,0,513,202404,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
2,2024,19,MINISTERO UNIVERSITA' E RICERCA,Unknown,7,0,4,202402,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
8,2023,12,MINISTERO DELL'INTERNO,CB,13,1,2,202308,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
1,2023,21,AGENZIA DELLE DOGANE,MO,7,0,1,202301,2025-06-18,Impiegato,AGENZIA DELLE DOGANE
9,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BS,3,2,0,202409,2025-06-18,Unknown,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
6,2024,19,MINISTERO UNIVERSITA' E RICERCA,SU,19,2,742,202406,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
3,2024,14,MINISTERO DELL'ECONOMIA E FINANZE,VV,17,0,1,202403,2025-06-18,Impiegato,MINISTERO DELL'ECONOMIA E FINANZE
2,2024,9,MINISTERO DELLA GIUSTIZIA,TN,20,0,2,202402,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
4,2024,9,Unknown,AP,10,0,1,202404,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
10,2023,22,AGENZIA DELLE ENTRATE,AG,18,0,1,202312,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
2,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,AQ,12,0,2,202301,2025-06-18,Unknown,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
2,2023,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,RM,11,5,14,202302,2025-06-18,Funzionario,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE
12,2022,14,MINISTERO DELLA CULTURA,MN,3,12,0,202312,2025-06-18,Operatore,MINISTERO DELLA CULTURA
6,2023,9,MINISTERO DELLA GIUSTIZIA,PA,18,5,18,202312,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
6,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BN,14,2,2,202406,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2024,2020,Unknown,SA,14,1,2,202312,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
4,2024,19,MINISTERO UNIVERSITA' E RICERCA,SP,6,2,98,202404,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CO,3,18,0,202312,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
7,2024,22,AGENZIA DELLE ENTRATE,VT,11,3,0,202412,2025-06-18,Impiegato,AGENZIA DELLE ENTRATE
12,2021,954,ISPETTORATO NAZIONALE DEL LAVORO,BA,15,1,4,202312,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
7,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,TV,4,0,2,202407,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2024,19,MINISTERO UNIVERSITA' E RICERCA,Unknown,18,171,1,202405,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
6,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AQ,12,3,2529,202406,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
8,2024,18,CORTE DEI CONTI,PA,18,2,1,202408,2025-06-18,Unknown,CORTE DEI CONTI
9,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,FI,8,2,0,202409,2025-06-18,Impiegato,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
5,2023,25,ARCHIVI NOTARILI,PI,8,0,1,202305,2025-06-18,Unknown,ARCHIVI NOTARILI
1,2024,18,CORTE DEI CONTI,VE,4,1,0,202312,2025-06-18,Unknown,CORTE DEI CONTI
3,2024,954,Unknown,PO,8,1,0,202403,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
2,2023,14,MINISTERO DELLA CULTURA,CA,19,0,2,202302,2025-06-18,Impiegato,MINISTERO DELLA CULTURA
5,2023,21,AGENZIA DELLE DOGANE,UD,5,0,2,202305,2025-06-18,Dirigente,AGENZIA DELLE DOGANE
1,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BA,15,0,11,202401,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
7,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PT,8,3,6,202312,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2024,19,MINISTERO UNIVERSITA' E RICERCA,CT,18,23,7,202403,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
3,2023,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,BO,7,4,0,202303,2025-06-18,Unknown,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
9,2023,14,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA,Unknown,11,12,13,202309,2025-06-18,Impiegato,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA
3,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TO,1,72,42,202403,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
4,2023,14,Unknown,EN,18,5,0,202304,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
3,2023,19,MINISTERO UNIVERSITA' E RICERCA,BR,15,0,5,202303,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
9,2023,19,MINISTERO UNIVERSITA' E RICERCA,MI,3,9386,152,202309,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
11,2023,22,Unknown,AT,1,2,1,202311,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
6,2023,9,MINISTERO DELLA GIUSTIZIA,LT,11,0,4,202306,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2023,9,MINISTERO DELLA GIUSTIZIA,Unknown,8,0,3,202307,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
10,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,Unknown,18,264,3,202310,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
4,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,VE,4,2,0,202404,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
12,2023,14,MINISTERO DELLA CULTURA,VC,1,0,2,202312,2025-06-18,Funzionario,MINISTERO DELLA CULTURA
5,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,BS,3,1,1,202405,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
4,2023,19,MINISTERO UNIVERSITA' E RICERCA,AV,14,5,8,202304,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
12,2024,969,ORDINE DEGLI PSICOLOGI DEL LAZIO,RM,11,0,2,202412,2025-06-18,Unknown,ORDINE DEGLI PSICOLOGI DEL LAZIO
7,2023,12,Unknown,CZ,17,0,2,202307,2025-06-18,Operatore,MINISTERO DELL'INTERNO
8,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,Unknown,8,3,3,202402,2025-06-18,Funzionario,MINISTERO DELL'ISTRUZIONE E DEL MERITO
11,2023,8017,AGENZIA DEL DEMANIO,MI,3,2,0,202311,2025-06-18,Operatore,AGENZIA DEL DEMANIO
10,2024,971,ARPAL PUGLIA,FG,15,2,1,202410,2025-06-18,Impiegato,ARPAL PUGLIA
12,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CS,17,0,3,202412,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
1,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MS,8,0,1,202301,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
2,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RM,11,0,75,202402,2025-06-18,Operatore,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,Unknown,4,1,0,202310,2025-06-18,Operatore,MINISTERO DELL'ECONOMIA E FINANZE
3,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,GE,6,0,1,202403,2025-06-18,Dirigente,MINISTERO DELL'ECONOMIA E FINANZE
11,2023,12,MINISTERO DELL'INTERNO,AR,8,1,1,202311,2025-06-18,Unknown,MINISTERO DELL'INTERNO
12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,GR,8,63,93,202412,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
6,2024,14,Unknown,CH,12,15,2,202406,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
12,2023,28,Unknown,BA,15,2,1,202312,2025-06-18,Unknown,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA
2,2023,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,AN,10,1,2,202302,2025-06-18,Dirigente,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
9,2023,9,MINISTERO DELLA GIUSTIZIA,PV,3,0,5,202309,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2023,938,ENTE PARCO NAZIONALE DELLA MAJELLA,CH,12,0,1,202307,2025-06-18,Dirigente,ENTE PARCO NAZIONALE DELLA MAJELLA
12,2024,18,CORTE DEI CONTI,BA,10,0,2,202412,2025-06-18,Impiegato,CORTE DEI CONTI
6,2024,22,Unknown,GE,6,79,3,202406,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
8,2022,9,MINISTERO DELLA GIUSTIZIA,Unknown,14,0,29,202308,2025-06-18,Funzionario,MINISTERO DELLA GIUSTIZIA
9,2023,12,MINISTERO DELL'INTERNO,FG,15,0,1,202309,2025-06-18,Funzionario,MINISTERO DELL'INTERNO
10,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,CE,14,0,2,202310,2025-06-18,Dirigente,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
6,2024,18,CORTE DEI CONTI,TO,1,2,1,202406,2025-06-18,Dirigente,CORTE DEI CONTI
7,2024,19,MINISTERO UNIVERSITA' E RICERCA,PD,4,2764,33,202409,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
7,2024,9,Unknown,PO,8,37,1,202407,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
7,2023,19,MINISTERO UNIVERSITA' E RICERCA,BN,14,10,10,202307,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
4,2023,14,MINISTERO DELLA CULTURA,RI,11,0,2,202304,2025-06-18,Funzionario,MINISTERO DELLA CULTURA
7,2021,9,MINISTERO DELLA GIUSTIZIA,CE,14,0,5,202307,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
2,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,TA,15,1,0,202302,2025-06-18,Dirigente,ISPETTORATO NAZIONALE DEL LAVORO
1,2024,14,MINISTERO DELLA CULTURA,RM,11,24,20,202401,2025-06-18,Funzionario,MINISTERO DELLA CULTURA
8,2023,14,MINISTERO DELLA CULTURA,TO,1,0,4,202308,2025-06-18,Operatore,MINISTERO DELLA CULTURA
10,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TV,4,705,24,202310,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,TN,20,6,1,202301,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
10,2023,10,MINISTERO DELLA SALUTE,BA,15,0,1,202310,2025-06-18,Operatore,MINISTERO DELLA SALUTE
7,2023,18,CORTE DEI CONTI,CA,19,1,0,202312,2025-06-18,Unknown,CORTE DEI CONTI
1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,FG,15,192,27,202401,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
11,2024,19,MINISTERO UNIVERSITA' E RICERCA,BO,7,251,19,202411,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
7,2024,14,MINISTERO DELLA CULTURA,AQ,12,24,0,202404,2025-06-18,Operatore,MINISTERO DELLA CULTURA
11,2023,22,AGENZIA DELLE ENTRATE,AR,8,1,0,202311,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
9,2023,12,MINISTERO DELL'INTERNO,Unknown,18,0,3,202305,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
5,2024,14,ISPETTORATO NAZIONALE DEL LAVORO,BN,14,1,0,202405,2025-06-18,Funzionario,ISPETTORATO NAZIONALE DEL LAVORO
6,2023,19,MINISTERO UNIVERSITA' E RICERCA,SA,14,6,1765,202306,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TS,5,12,9,202401,2025-06-18,Operatore,MINISTERO DELL'ISTRUZIONE E DEL MERITO
4,2023,19,MINISTERO UNIVERSITA' E RICERCA,PD,4,4,4,202304,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
7,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TA,15,1,48,202307,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
8,2024,14,Unknown,BO,7,0,6,202408,2025-06-18,Impiegato,MINISTERO DELLA CULTURA
1,2023,15,AVVOCATURA GENERALE DELLO STATO,Unknown,14,0,1,202301,2025-06-18,Operatore,AVVOCATURA GENERALE DELLO STATO
9,2023,22,AGENZIA DELLE ENTRATE,TR,9,0,3,202312,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
3,2024,9,MINISTERO DELLA GIUSTIZIA,TO,1,10,16,202403,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2024,19,MINISTERO UNIVERSITA' E RICERCA,RE,7,64,22,202407,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
5,2023,14,AGENZIA DELLE DOGANE,ME,18,0,1,202305,2025-06-18,Dirigente,AGENZIA DELLE DOGANE
8,2024,12,MINISTERO DELL'INTERNO,AV,14,0,1,202408,2025-06-18,Funzionario,MINISTERO DELL'INTERNO
11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RC,17,0,5,202311,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
1,2023,22,Unknown,MO,7,1,0,202301,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
7,2024,966,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,RM,11,68,4,202407,2025-06-18,Operatore,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI
6,2024,12,MINISTERO DELL'INTERNO,LT,11,0,2,202406,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
5,2023,22,AGENZIA DELLE ENTRATE,PE,12,0,2,202305,2025-06-18,Impiegato,AGENZIA DELLE ENTRATE
5,2023,9,MINISTERO DELLA GIUSTIZIA,Unknown,3,2,2,202312,2025-06-18,Unknown,MINISTERO DELLA GIUSTIZIA
1,2024,12,Unknown,BZ,20,0,1,202401,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
12,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,PE,12,2,0,202312,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
2,2023,19,MINISTERO UNIVERSITA' E RICERCA,VI,4,3,4,202302,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
4,2023,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,RM,11,0,1,202304,2025-06-18,Dirigente,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO
9,2023,954,Unknown,GE,6,5,0,202309,2025-06-18,Dirigente,ISPETTORATO NAZIONALE DEL LAVORO
3,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CS,17,0,2,202303,2025-06-18,Dirigente,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2023,12,MINISTERO DELL'INTERNO,MO,7,18,3,202406,2025-06-18,Unknown,MINISTERO DELL'INTERNO
11,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PE,12,0,2,202411,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
12,2024,19,MINISTERO UNIVERSITA' E RICERCA,CB,13,50,36,202412,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
6,2023,5,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,RM,11,35,22,202306,2025-06-18,Funzionario,PRESIDENZA DEL CONSIGLIO DEI MINISTRI
9,2024,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,CT,18,2,0,202409,2025-06-18,Operatore,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA
3,2024,9,MINISTERO DELLA GIUSTIZIA,BR,15,5,2,202403,2025-06-18,Funzionario,MINISTERO DELLA GIUSTIZIA
4,2024,19,Unknown,OR,19,0,127,202404,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
5,2023,954,Unknown,AN,10,0,1,202305,2025-06-18,Dirigente,ISPETTORATO NAZIONALE DEL LAVORO
