mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
4,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,VR,4,0,9,202404,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RC,17,330,444,202412,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
7,2024,14,MINISTERO DELL'ISTRUZIONE E DEL MERITO,FR,11,105,2,202407,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,CA,19,63,6,202312,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
9,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,IM,6,237,6,202310,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
11,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RC,17,285,48,202312,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
3,2024,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,RM,11,0,2,202403,2025-06-18,Impiegato,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO
10,2024,1,Unknown,PC,7,1,0,202410,2025-06-18,Dirigente,MINISTERO DELL'ECONOMIA E FINANZE
7,2023,14,MINISTERO DELLA CULTURA,CZ,17,2,4,202307,2025-06-18,Unknown,MINISTERO DELLA CULTURA
2,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PA,18,45,33,202312,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
2,2024,14,MINISTERO DELLA CULTURA,CE,14,0,4,202402,2025-06-18,Unknown,MINISTERO DELLA CULTURA
1,2023,19,MINISTERO UNIVERSITA' E RICERCA,MO,7,49,7,202301,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
10,2024,14,MINISTERO UNIVERSITA' E RICERCA,ME,18,172,35,202410,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
2,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,Unknown,15,15,12,202402,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
3,2024,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,BZ,20,0,2,202403,2025-06-18,Funzionario,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
3,2023,9,MINISTERO DELLA GIUSTIZIA,RM,11,59,2,202303,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
3,2024,9,MINISTERO DELLA GIUSTIZIA,PT,8,0,4,202403,2025-06-18,Funzionario,MINISTERO DELLA GIUSTIZIA
7,2024,25,ARCHIVI NOTARILI,Unknown,14,1,0,202407,2025-06-18,Impiegato,ARCHIVI NOTARILI
8,2024,21,AGENZIA DELLE DOGANE,RC,17,0,1,202409,2025-06-18,Unknown,AGENZIA DELLE DOGANE
3,2023,12,Unknown,RG,18,0,1,202403,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
8,2023,9,MINISTERO DELLA GIUSTIZIA,Unknown,1,0,3,202302,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PE,12,78,66,202412,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
8,2023,13,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,BO,7,1,2,202308,2025-06-18,Operatore,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY
