id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
661738e4262bc367a235040d,202403,27,AGENZIA NAZIONALE PER I GIOVANI - ANG,3,Previdenziali,14,Previdenziali a carico del lavoratore,3530.76,2024-11-04,Sud
663ec5ea3f62190222cfb4d7,202404,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,2,Erariali,6,IRAP,679635.41,2024-11-05,
6667a4b7262bc331bdcd0b73,202405,829,COMUNE DI MERCATO SAN SEVERINO,4,Varie,12,Altre voci,291.39,2024-11-06,Sud
671a780d568f1404768e2c29,202409,845,,2,Erariali,5,IRPEF,3229.78,2024-10-24,Centro
66bf60490377f64b681b516a,202407,960,AUTORITA' DI BACINO DISTR. DELL'APPENNINO SETTENTRIONALE,2,Erariali,6,IRAP,12645.75,2024-08-16,Isole
659f417b9b1c14690c5c41f0,,6,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,2,Erariali,6,IRAP,1705725.64,2024-11-01,Sud
66bf604a0377f64bd0cd2562,202407,845,COMUNE DI MONDAINO,2,Erariali,8,Addizionali Comunali,147.05,2024-08-16,Sud
66bf60520377f64b679f28b8,202407,23,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,2,Erariali,8,Addizionali Comunali,8557.89,2024-08-16,Nord
661738e49b1c14196e7da350,202403,971,ARPAL PUGLIA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,553719.04,2024-11-04,Nord
66e0ee65f458af5423ceb57e,202408,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,2,Erariali,5,IRPEF,16031664.0,2024-09-11,Sud
671a780de28f8d6b0a19d256,,954,ISPETTORATO NAZIONALE DEL LAVORO,1,Netto,15,Netto,10141969.79,2024-10-24,
66bf60490377f64b679f2825,,969,ORDINE DEGLI PSICOLOGI DEL LAZIO,2,Erariali,8,Addizionali Comunali,610.91,2024-08-16,Nord
668f34079b1c1405cffd2d47,,10,MINISTERO DELLA SALUTE,1,Netto,15,Netto,4726513.0,2024-11-07,
668f34079b1c1405cffd2d1c,,19,MINISTERO UNIVERSITA' E RICERCA,4,Varie,9,Riscatti,11205.83,2024-11-07,Sud
661738e49b1c14196e7da330,202403,25,ARCHIVI NOTARILI,4,Varie,10,Ritenute Sindacali,1334.48,2024-11-04,
668f34079b1c1405cffd2cbb,202406,27,AGENZIA NAZIONALE PER I GIOVANI - ANG,3,Previdenziali,14,Previdenziali a carico del lavoratore,5355.05,2024-11-07,
6731590b5c833340b426ae89,202410,971,ARPAL PUGLIA,2,Assistenziali,6,,165390.84,2024-11-11,Sud
659f417b9b1c14690c5c41f1,202312,972,SCUOLA SUPERIORE DELLA MAGISTRATURA,3,Previdenziali,14,Previdenziali a carico del lavoratore,1462.93,2024-11-01,Isole
659f41739b1c14690c5c4189,202312,12,MINISTERO DELL'INTERNO,2,Erariali,5,IRPEF,292818541.49,2024-11-01,Centro
