_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,note,fonte_dato,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852caf2205349164beacdae,7,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,MT,16,0,1,202307,2025-06-18T16:15:20.148346,,,,MT,1,MINISTERO DELL'ECONOMIA E FINANZE,16,0
6852caef205349164bea1c5e,5,2024,974,AGENZIA INDUSTRIE DIFESA AID,RM,11,1,0,202405,2025-06-18T16:15:20.148346,Operatore,,,RM,974,AGENZIA INDUSTRIE DIFESA AID,11,1
6852cae9205349164be8eace,12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RG,18,0,2,202312,2025-06-18T16:15:20.148346,Dirigente,,,RG,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,18,0
6852caeb205349164be9567f,11,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,NA,14,4,6,202311,2025-06-18T16:15:20.148346,Operatore,,,NA,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,14,4
6852caff79c2715845d94bce,2,2024,9,MINISTERO DELLA GIUSTIZIA,PD,04,0,11,202402,2025-06-18T16:15:20.148346,Operatore,,,PD,9,MINISTERO DELLA GIUSTIZIA,04,0
6852cae8205349164be8c3cc,8,2024,9,MINISTERO DELLA GIUSTIZIA,FR,NULL,0,2,202408,2025-06-18T16:15:20.148346,Dirigente,,,FR,9,MINISTERO DELLA GIUSTIZIA,11,0
6852cada9952cb647ef38013,6,2023,22,AGENZIA DELLE ENTRATE,IS, ,5,0,202306,2025-06-18T16:15:20.148346,Dirigente,,,IS,22,AGENZIA DELLE ENTRATE,13,5
6852caef205349164bea000a,3,2023,12,MINISTERO DELL'INTERNO,BO,07,6,3,202303,2025-06-18T16:15:20.148346,Funzionario,,,BO,12,MINISTERO DELL'INTERNO,07,6
6852cad96555da0907a407e0,7,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,//,04,1,2,202307,2025-06-18T16:15:20.148346,Dirigente,,,TV,1,MINISTERO DELL'ECONOMIA E FINANZE,04,1
6852caf7205349164bebd26a,11,2023,19,-,PA,18,194,9,202311,2025-06-18T16:15:20.148346,Dirigente,,,PA,19,MINISTERO UNIVERSITA' E RICERCA,18,194
6852caf2205349164beab345,2,2023,19,MINISTERO UNIVERSITA' E RICERCA,FM,10,1,2,202302,2025-06-18T16:15:20.148346,,,,FM,19,MINISTERO UNIVERSITA' E RICERCA,10,1
6852caf8205349164bebf300,9,2024,21,AGENZIA DELLE DOGANE,LI,08,N.D.,1,202401,2025-06-18T16:15:20.148346,Funzionario,,,LI,21,AGENZIA DELLE DOGANE,08,N.D.
6852caed205349164be9abf9,2,2024,12,MINISTERO DELL'INTERNO,IM ,06,0,2,202402,2025-06-18T16:15:20.148346,Operatore,Dato stimato,,IM,12,MINISTERO DELL'INTERNO,06,0
6852caed205349164be9b0e8,5,2023,9,MINISTERO DELLA GIUSTIZIA,SU,19,0,1,202305,2025-06-18T16:15:20.148346,Impiegato,,,SU,9,MINISTERO DELLA GIUSTIZIA,19,0
6852caea205349164be92118,7,2023.,22,AGENZIA DELLE ENTRATE,TP,18,4,1,202304,2025-06-18T16:15:20.148346,,,,TP,22,AGENZIA DELLE ENTRATE,18,4
6852cada9952cb647ef3846a,6,2023,22,AGENZIA DELLE ENTRATE,MO,07,1,1,202306,2025-06-18T16:15:20.148346,Operatore,,,MO,22,AGENZIA DELLE ENTRATE,07,1
6852caf1205349164bea7d67,2,2023,19,MINISTERO UNIVERSITA' E RICERCA,AG,18,3,2,202302,2025-06-18T16:15:20.148346,,,,AG,19,MINISTERO UNIVERSITA' E RICERCA,18,3
6852cae8205349164be8cf2d,7,2024,1,,UD,05,1,1,202407,2025-06-18T16:15:20.148346,,,,UD,1,MINISTERO DELL'ECONOMIA E FINANZE,05,1
6852caf2205349164bea97c7,5,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,VI,04,0,3,202405,2025-06-18T16:15:20.148346,Impiegato,,,VI,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,04,0
6852caf5205349164beb6e28,1,2024.,975,IPAB ISTITUTO DI BENEFICENZA E SCOLASTICO SAC. M. SCRIFFIGNANO SISCARO,EN,18,1,0,202401,2025-06-18T16:15:20.148346,Impiegato,,,EN,975,IPAB ISTITUTO DI BENEFICENZA E SCOLASTICO SAC. M. SCRIFFIGNANO SISCARO,18,1
6852caec205349164be98878,3,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PD,04,3,11,202403,2025-06-18T16:15:20.148346,Impiegato,,,PD,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,04,3
6852caeb205349164be972bd,6,2023,22,AGENZIA DELLE ENTRATE,EN,18,8,1,202306,2025-06-18T16:15:20.148346,Impiegato,,,EN,22,AGENZIA DELLE ENTRATE,18,8
6852cb029952cb647ef38946,11,2023,12,MINISTERO DELL'INTERNO,AQ,12,0,5,202311,2025-06-18T16:15:20.148346,,,,AQ,12,MINISTERO DELL'INTERNO,12,0
6852caea205349164be92013,4,2023,19,MINISTERO UNIVERSITA' E RICERCA,RN,07,1,1,202304,2025-06-18T16:15:20.148346,Operatore,,,RN,19,MINISTERO UNIVERSITA' E RICERCA,07,1
6852caf4205349164beb1b34,7,2024,4,null,AG,18,9,3,202402,2025-06-18T16:15:20.148346,Impiegato,,,AG,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,18,9
